선반ID,모듈,단,공급코드,상품명,규격,운영 상품군,중요도,취급 권장,페이싱,배정 근거,조건
G6-D-2/S2,G6-D-2,S2,pd0001986,프렌즈아이드롭점안액(아이스),14ml,점안·세안 의약품,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G6-D-2/S2,G6-D-2,S2,pd0001972,프렌즈아이드롭점안액(쿨),14mL,점안·세안 의약품,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G6-D-2/S2,G6-D-2,S2,pd0001980,프렌즈아이드롭점안액(쿨하이),14mL,점안·세안 의약품,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G4-D-2/S2,G4-D-2,S2,pd0002375,프로캄진프로바이오틱플러스30,30캡슐,유산균,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G4-D-1/S2,G4-D-1,S2,pd0002504,하이퍼셀 리포좀 비타민C,30P,비타민C 경구제품,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
L1/S5,L1,S5,pd0002422,한풍드루산(갈근탕),4g*5포,종합감기 상담약,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
L1/S4,L1,S4,pd0002428,한풍소청룡탕엑스과립,5포,비염·알레르기 상담약,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
L1/S3,L1,S3,pd0002419,한풍은교산엑스과립,2.3g*5포,기침·인후 상담약,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
L1/S5,L1,S5,pd0002427,한풍청폐탕엑스과립,4g*5포,기침·인후 상담약,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
W4/S5,W4,S5,pd0000048,헤파모닝액,75mL,간 관련 상담약,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
L2/S2,L2,S2,pd0002021,활명수유액,5EA,소화·위장 상담약,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G5-D-3/S3,G5-D-3,S3,pd0001930,후시다인 리쥬 피디알엔크림,30mL,PDRN 스킨케어,C,대체 후보,1,면 단위(G5-D) → 상품군 일치 하위모듈,대체 후보 채택 · 1F 시작
G2-U-1/S2,G2-U-1,S2,pd0001859,후시딘겔,15g,상처 항균 외용제,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
(2차),G4-U-2,,pd0000094,NEW 컨디션 스틱 젤리 제로(망고맛/행오버/숙취개선효과),,숙취 관련 식품,C,,1,상품명 기준 라우팅 · 숙취·일상 영양,대체 후보 채택 · 1F 시작
(2차),G4-U-2,,pd0000093,NEW 컨디션 스틱 젤리 제로(컨디션맛/행오버/숙취개선효과),,숙취 관련 식품,C,,1,상품명 기준 라우팅 · 숙취·일상 영양,대체 후보 채택 · 1F 시작
(2차),G4-U-2,,pd0000226,니아르 가르시니아 샤인머스켓,,체중관리 경구제품,N,,1,상품명 기준 라우팅 · 체중관리 경구,초도 비권장 판정 재확인
(2차),G4-U-2,,pd0000224,니아르 브이케어 리치피치맛,,체중관리 경구제품,N,,1,상품명 기준 라우팅 · 체중관리 경구,초도 비권장 판정 재확인
(2차),G4-U-2,,pd0000223,니아르 브이케어 파인애플맛,,체중관리 경구제품,N,,1,상품명 기준 라우팅 · 체중관리 경구,초도 비권장 판정 재확인
(2차),G4-U-2,,pd0000225,니아르 오일케어,,체중관리 경구제품,N,,1,상품명 기준 라우팅 · 체중관리 경구,초도 비권장 판정 재확인
(2차),G5-U-1,,pd0001219,닥터딥 멀티아토크림,,기초 스킨케어·세부목적 확인,H,,1,상품명 기준 라우팅 · 장벽·건조,분류·표시 확인 후 진열
(2차),G5-U-1,,pd0001218,닥터딥 멀티에멀젼,,기초 스킨케어·세부목적 확인,H,,1,상품명 기준 라우팅 · 장벽·건조,분류·표시 확인 후 진열
(2차),G5-U-3,,pd0001217,닥터딥 스킨토너,,기초 스킨케어·세부목적 확인,H,,1,상품명 기준 라우팅 · 토너·패드,분류·표시 확인 후 진열
(2차),G5-D-3,,pd0001441,닥터리쥬진 하이퍼인퓨전 마그네틱 인퓨저,,미용기기·분류 확인,H,,1,상품명 기준 라우팅 · PDRN·부스터 제형 비교,분류·표시 확인 후 진열
(2차),G5-D-3,,pd0001435,닥터리쥬진 하이퍼인퓨전 쓰리에스 세럼,,기초 스킨케어·세부목적 확인,H,,1,상품명 기준 라우팅 · PDRN·부스터 제형 비교,분류·표시 확인 후 진열
(2차),G5-D-3,,pd0001437,닥터리쥬진 하이퍼인퓨전 이십점이케이 리페어 크림,,기초 스킨케어·세부목적 확인,H,,1,상품명 기준 라우팅 · PDRN·부스터 제형 비교,분류·표시 확인 후 진열
(2차),G5-D-3,,pd0001436,닥터리쥬진 하이퍼인퓨전 포디 앰플,,기초 스킨케어·세부목적 확인,H,,1,상품명 기준 라우팅 · PDRN·부스터 제형 비교,분류·표시 확인 후 진열
(2차),W4,,pd0002069,도담도담트리플비타액,,기타 영양·건강식품,C,,1,상품명 기준 라우팅 · 경구 영양,대체 후보 채택 · 1F 시작
(2차),L2,,pd0002456,레스큐라이트액,,기타 상담약·약효 확인,H,,1,상품명 기준 라우팅 · 경구 상담약,분류·표시 확인 후 진열
(2차),G5-D-2,,pd0000964,로리코 레티 0.5 딥 인 세럼 10ml,,기초 스킨케어·세부목적 확인,H,,1,상품명 기준 라우팅 · 주름·탄력,분류·표시 확인 후 진열
(2차),G5-D-2,,pd0000963,로리코 레티 0.5 딥 인 세럼 30ml,,기초 스킨케어·세부목적 확인,H,,1,상품명 기준 라우팅 · 주름·탄력,분류·표시 확인 후 진열
(2차),G5-D-3,,pd0002528,르디퍼 알엑스 부스터 시너지 크림,,기초 스킨케어·세부목적 확인,H,,1,상품명 기준 라우팅 · PDRN·부스터 제형 비교,분류·표시 확인 후 진열
(2차),G6-D-3,,pd0000460,링탭 PMS 패치,,기능 표방 패치·분류 확인,H,,1,상품명 기준 라우팅 · 기능 표방 패치,분류·표시 확인 후 진열
(2차),G5-D-2,,pd0002359,메디인랩 A3앰플,,기초 스킨케어·세부목적 확인,H,,1,상품명 기준 라우팅 · 주름·탄력,분류·표시 확인 후 진열
(2차),G5-D-2,,pd0002360,메디인랩A5메디크림,,기초 스킨케어·세부목적 확인,H,,1,상품명 기준 라우팅 · 주름·탄력,분류·표시 확인 후 진열
(2차),G5-D-2,,pd0001161,메디큐브 딥 비타 씨 캡슐 크림 55g,,기초 스킨케어·세부목적 확인,H,,1,상품명 기준 라우팅 · 주름·탄력,분류·표시 확인 후 진열
(2차),G5-D-2,,pd0002304,믹순 두유 세럼,,기초 스킨케어·세부목적 확인,H,,1,상품명 기준 라우팅 · 주름·탄력,분류·표시 확인 후 진열
(2차),G5-D-2,,pd0002301,믹순 콩 밸런싱 앰플 미스트,,기초 스킨케어·세부목적 확인,H,,1,상품명 기준 라우팅 · 주름·탄력,분류·표시 확인 후 진열
(2차),G5-D-2,,pd0002294,믹순 콩 크림,,기초 스킨케어·세부목적 확인,H,,1,상품명 기준 라우팅 · 주름·탄력,분류·표시 확인 후 진열
(2차),G5-D-2,,pd0002314,믹순 콩 크림 스틱파우치,,기초 스킨케어·세부목적 확인,H,,1,상품명 기준 라우팅 · 주름·탄력,분류·표시 확인 후 진열
(2차),G5-U-3,,pd0002299,믹순 콩 토너,,기초 스킨케어·세부목적 확인,H,,1,상품명 기준 라우팅 · 토너·패드,분류·표시 확인 후 진열
(2차),L2,,pd0001931,브로립신정,,기타 상담약·약효 확인,H,,1,상품명 기준 라우팅 · 경구 상담약,분류·표시 확인 후 진열
(2차),L2,,pd0000067,세노비아에프정,,기타 상담약·약효 확인,H,,1,상품명 기준 라우팅 · 경구 상담약,분류·표시 확인 후 진열
(2차),L1,,pd0002072,스노킬스프레이액(잔탄검),,기타 상담약·약효 확인,H,,1,상품명 기준 라우팅 · 목·기침,분류·표시 확인 후 진열
(2차),G5-D-3,,pd0002379,스킨부스터 바이 르디퍼 RX,,기초 스킨케어·세부목적 확인,H,,1,상품명 기준 라우팅 · PDRN·부스터 제형 비교,분류·표시 확인 후 진열
(2차),G5-D-3,,pd0002383,스킨톡스 바이 르디퍼 알엑스,,기초 스킨케어·세부목적 확인,H,,1,상품명 기준 라우팅 · PDRN·부스터 제형 비교,분류·표시 확인 후 진열
(2차),G5-D-3,,pd0001100,시오레 마시는 PDRN200 어드밴스드,,PDRN 함유 경구제품·분류 확인,H,,1,상품명 기준 라우팅 · PDRN·부스터 제형 비교,분류·표시 확인 후 진열
(2차),G4-U-2,,pd0000220,알디콤A 숙취해소제 12포,,숙취 관련 식품,C,,1,상품명 기준 라우팅 · 숙취·일상 영양,대체 후보 채택 · 1F 시작
(2차),G4-U-2,,pd0000222,알디콤Plus 숙취해소제 12포,,숙취 관련 식품,C,,1,상품명 기준 라우팅 · 숙취·일상 영양,대체 후보 채택 · 1F 시작
(2차),G4-U-2,,pd0000221,알디콤V 숙취해소제 12포,,숙취 관련 식품,C,,1,상품명 기준 라우팅 · 숙취·일상 영양,대체 후보 채택 · 1F 시작
(2차),L2,,pd0000069,알미틴플러스정,,기타 상담약·약효 확인,H,,1,상품명 기준 라우팅 · 경구 상담약,분류·표시 확인 후 진열
(2차),G4-U-2,,pd0000095,알유21(RU21) 숙취해소엔 웨이크업 스틱 (젤리타입/꿀배맛),,숙취 관련 식품,C,,1,상품명 기준 라우팅 · 숙취·일상 영양,대체 후보 채택 · 1F 시작
(2차),G4-U-2,,pd0000086,알유21(RU21) 숙취해소엔 웨이크업 스틱 (젤리타입/사과맛),,숙취 관련 식품,C,,1,상품명 기준 라우팅 · 숙취·일상 영양,대체 후보 채택 · 1F 시작
(2차),W4,,pd0002004,액티핏,,기타 영양·건강식품,C,,1,상품명 기준 라우팅 · 경구 영양,대체 후보 채택 · 1F 시작
(2차),G5-U-1,,pd0001588,에스네이처 블랑쉬 로션 200ml,,기초 스킨케어·세부목적 확인,H,,1,상품명 기준 라우팅 · 장벽·건조,분류·표시 확인 후 진열
(2차),L2,,pd0000062,인콤정,,기타 상담약·약효 확인,H,,1,상품명 기준 라우팅 · 경구 상담약,분류·표시 확인 후 진열
(2차),W4,,pd0002054,정원삼 6년근 고려홍정365 젤리스틱,,기타 영양·건강식품,C,,1,상품명 기준 라우팅 · 경구 영양,대체 후보 채택 · 1F 시작
(2차),G4-U-2,,pd0000118,컨디션 스틱 젤리(그린애플맛/행오버/숙취개선효과),,숙취 관련 식품,C,,1,상품명 기준 라우팅 · 숙취·일상 영양,대체 후보 채택 · 1F 시작
(2차),G4-U-2,,pd0000088,컨디션 스틱 젤리(민트초코맛/행오버/숙취개선효과),,숙취 관련 식품,C,,1,상품명 기준 라우팅 · 숙취·일상 영양,대체 후보 채택 · 1F 시작
(2차),G4-U-2,,pd0000119,컨디션 스틱 젤리(자두맛/행오버/숙취개선효과),,숙취 관련 식품,C,,1,상품명 기준 라우팅 · 숙취·일상 영양,대체 후보 채택 · 1F 시작
(2차),G4-U-2,,pd0000087,컨디션 스틱 젤리(초코맛/행오버/숙취개선효과),,숙취 관련 식품,C,,1,상품명 기준 라우팅 · 숙취·일상 영양,대체 후보 채택 · 1F 시작
(2차),L2,,pd0002254,크리맥액,,기타 상담약·약효 확인,H,,1,상품명 기준 라우팅 · 경구 상담약,분류·표시 확인 후 진열
(2차),G5-U-1,,pd0001707,토니모리 블랙티인텐스리페어로션,,기초 스킨케어·세부목적 확인,H,,1,상품명 기준 라우팅 · 장벽·건조,분류·표시 확인 후 진열
(2차),G5-D-2,,pd0001708,토니모리 블랙티인텐스리페어세럼,,기초 스킨케어·세부목적 확인,H,,1,상품명 기준 라우팅 · 주름·탄력,분류·표시 확인 후 진열
(2차),G5-U-3,,pd0001709,토니모리 블랙티인텐스리페어토너,,기초 스킨케어·세부목적 확인,H,,1,상품명 기준 라우팅 · 토너·패드,분류·표시 확인 후 진열
(2차),G5-U-3,,pd0001729,토니모리 원더속쌀매끈토너,,기초 스킨케어·세부목적 확인,H,,1,상품명 기준 라우팅 · 토너·패드,분류·표시 확인 후 진열
(2차),G5-D-3,,pd0001732,"톰 PPM 50,000 트리플 시너지 리쥬비네이팅 크림 (50ml)",,기초 스킨케어·세부목적 확인,H,,1,상품명 기준 라우팅 · PDRN·부스터 제형 비교,분류·표시 확인 후 진열
(2차),G4-U-2,,pd0000217,퍼니트 새빨간 콜레우스 포스콜리 다이어트 56정,,체중관리 경구제품,N,,1,상품명 기준 라우팅 · 체중관리 경구,초도 비권장 판정 재확인
(2차),G5-D-2,,pd0001909,프로캄 레드엑스크림,,기초 스킨케어·세부목적 확인,H,,1,상품명 기준 라우팅 · 주름·탄력,분류·표시 확인 후 진열
